State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.6809934121596706	0.09755743576806176	7.885181358059633E-4	0.07413239049550001	0.011875054217130936	0.005658222656693869	0.0013774907088688563	0.015832381397380895	0.06035327119945692	0.05143182326143019
2	0.05998485207767831	0.8616503082088165	0.06896667128902567	0.0067965815449649	0.0	3.7219346602140137E-4	0.0	0.001016075977430634	0.0012133174360626439	0.0
3	8.449354229651151E-4	0.08076511723281582	0.710257265175333	0.17195946144741722	0.03543469112964832	0.0	0.0	7.385295918205992E-4	0.0	0.0
4	0.018474088955774712	0.004437331728214316	0.060618222116152844	0.7662501593809716	0.003031533008617999	0.009530775684972608	9.757133538869398E-5	0.005039158135951593	0.11432999367484821	0.018191165979107485
5	0.010089317709315843	0.0	0.044981425324116524	0.005807435239487305	0.7914041723743622	0.12891746434135842	0.016278373150569292	0.001059899287195566	0.0	0.0014619125735947807
6	7.582458652844185E-4	3.726524084400623E-5	0.0	0.0051245971475509374	0.017350917011432803	0.9657315777992662	2.4532369568249E-4	0.0013699338067037121	0.009382139433235308	0.0
7	0.004096023095398321	0.0019442506913307667	0.0	0.004957273302365798	0.0874217506195882	0.010767858303036889	0.6381160157506996	0.01767812544906948	0.20729730369321536	0.027721399095295415
8	0.017992886984564194	7.085478258823799E-4	0.0015307436518639565	0.021940862504656898	0.0018100907278621307	0.012480472191207516	0.0027236017129131005	0.5713971801060129	0.23232668541444063	0.1370889288805963
9	7.854020148445353E-4	1.3039953298754823E-5	0.0	0.005653122357680136	0.0	9.63591706851359E-4	5.534781942298558E-4	0.002811295791424596	0.9869345542863888	0.0022855156952820825
10	0.0035324058643227325	1.7190323223339435E-8	0.0	0.005206239581583281	1.4120126010033426E-4	0.0	4.323763549779012E-4	0.009372277838943304	0.013236251211958004	0.9680792306977912
